UserID,University,StartTime,EndTime
186,"University of California, Berkeley (UCB)",6/17/2016,2/22/2020
186,George Washington University,06/05/2017,8/22/2018
186,Vanderbilt University,11/26/2016,06/04/2019
187,Virginia Polytechnic Institute and State University,03/03/2017,7/13/2019
189,University of Pittsburgh,9/22/2016,11/10/2019
190,Clark University,05/06/2016,7/15/2019
192,University of Colorado Boulder,4/14/2017,10/14/2018
193,Massachusets Institute of Technology,06/10/2017,11/16/2018
193,Rutgers University - New Brunswick,05/03/2016,6/18/2018
193,Arizona State University,4/29/2016,02/04/2019
197,"University of North Carolina, Chapel Hill",05/09/2016,06/12/2019
197,Rice University,12/12/2017,12/15/2019
198,University of Connecticut,9/28/2016,8/28/2019
200,University of Kansas,11/30/2017,1/13/2018
200,Georgia Institute of Technology,12/23/2017,6/28/2019
200,University of Oklahoma,7/22/2017,4/22/2019
206,"University of North Carolina, Chapel Hill",11/09/2017,5/24/2018
206,University of Vermont,8/27/2017,9/17/2019
207,University of Miami,10/02/2016,8/13/2018
207,"The University of Tennessee, Knoxville",5/27/2016,1/15/2018
208,"University of Maryland, Baltimore County",5/13/2016,12/29/2019
208,Wake Forest University,7/20/2016,6/30/2018
208,University of Miami,8/22/2016,3/13/2018
210,University of New Mexico,9/19/2017,03/05/2020
211,Cornell University,05/03/2016,04/11/2018
211,University of Illinois at Urbana-Champaign,07/06/2017,10/05/2018
211,The Katz School at Yeshiva University,3/30/2017,3/25/2019
212,Florida State University,07/02/2016,02/11/2020
212,The Ohio State University,03/07/2017,7/13/2019
212,Wake Forest University,08/12/2016,05/05/2018
213,California Institute of Technology (Caltech),3/26/2017,01/06/2018
220,North Carolina State University,09/01/2016,4/17/2020
222,Iowa State University,01/05/2017,4/20/2019
222,Pennsylvania State University,05/10/2017,06/06/2018
224,New York University,07/11/2016,10/20/2019
226,University of Iowa,8/24/2017,11/09/2019
226,"University of California, Riverside",10/11/2016,3/13/2019
229,The Ohio State University,5/13/2016,2/27/2018
231,Cornell University,5/16/2016,2/28/2018
231,"University of North Carolina, Chapel Hill",12/17/2016,06/02/2018
231,Purdue University,3/22/2017,01/03/2018
233,University of Hawai,10/28/2017,05/12/2019
234,Rutgers University - New Brunswick,5/20/2016,4/16/2020
236,University of Hawai,10/01/2016,3/29/2019
236,Tulane University,03/06/2017,4/26/2018
238,The University of Arizona,4/23/2017,6/22/2019
238,University of Texas at Austin,10/12/2016,08/05/2018
238,Rice University,5/31/2017,03/03/2020
239,Rensselaer Polytechnic University,8/18/2016,7/22/2019
242,University of Utah,5/29/2017,2/25/2019
242,"The University of Tennessee, Knoxville",12/12/2017,02/03/2020
242,"University of California, San Diego (UCSD)",04/04/2017,1/26/2019
243,University of Virginia,12/15/2017,3/27/2018
246,Cornell University,10/25/2017,11/15/2019
247,University of Chicago,10/12/2016,2/16/2020
247,Tulane University,7/13/2016,7/22/2018
250,University of Southern California,4/19/2017,1/29/2019
250,University of Hawai,11/04/2016,11/12/2018
250,Northwestern University,5/13/2016,6/25/2018
253,University of Utah,4/27/2016,6/25/2018
253,"University of California, Berkeley (UCB)",6/14/2016,7/18/2019
254,North Carolina State University,10/26/2017,7/17/2019
255,George Washington University,12/13/2017,2/23/2019
255,University of Utah,5/25/2016,6/14/2019
255,New York University,11/08/2016,04/05/2020
256,University of Delaware,06/09/2017,04/05/2020
256,University of Southern California,5/24/2017,02/08/2019
256,North Carolina State University,12/17/2017,09/05/2019
258,Florida State University,12/20/2016,1/27/2019
259,Boston College,11/01/2017,6/25/2018
259,University of Connecticut,9/16/2016,11/23/2019
259,Washington University in St. Louis,11/02/2017,4/30/2018
260,Illinois Institute of Technology,07/09/2016,9/29/2019
262,Colorado State University,4/14/2017,09/04/2018
262,North Carolina State University,07/08/2017,04/01/2018
262,"University of California, Berkeley (UCB)",12/20/2017,6/28/2018
264,"University of California, Santa Barbara (UCSB)",6/15/2017,3/17/2018
266,George Washington University,7/19/2016,04/11/2019
266,University of Colorado Boulder,12/04/2016,07/10/2018
266,California Institute of Technology (Caltech),07/02/2017,3/30/2020
267,Colorado State University,10/02/2016,5/19/2019
268,"University of California, Santa Cruz",5/25/2016,1/21/2020
268,University of South Florida,10/11/2017,07/10/2018
269,Duke University,05/02/2017,4/19/2018
272,"University of Maryland, College Park",3/29/2017,11/22/2018
272,Arizona State University,2/26/2017,8/20/2018
272,"University of California, Los Angeles (UCLA)",12/29/2017,04/08/2018
273,Brown University,12/13/2016,5/20/2018
274,"University of California, Irvine",8/16/2017,01/12/2019
275,University at Buffalo SUNY,08/01/2016,6/27/2018
275,Northeastern University,6/22/2016,04/04/2020
280,"University of Colorado, Denver",12/30/2016,3/27/2018
280,University of Massachusetts Amherst,3/20/2017,4/20/2018
281,Emory University,12/15/2016,5/22/2019
281,Harvard University,10/29/2017,4/13/2019
281,Georgia Institute of Technology,07/10/2016,12/27/2019
282,Pennsylvania State University,1/15/2017,11/28/2019
285,Wake Forest University,09/02/2016,08/09/2018
285,North Carolina State University,6/28/2016,6/21/2018
285,University at Buffalo SUNY,5/19/2017,12/25/2018
286,"University of North Carolina, Chapel Hill",12/16/2016,02/10/2020
286,University of Florida,10/22/2017,2/22/2018
286,Brandeis University,1/19/2017,05/02/2018
287,University of Rochester,12/05/2016,02/02/2020
287,University of Hawai,10/31/2017,11/06/2019
287,Washington University in St. Louis,7/20/2017,04/02/2020
291,"University of California, San Diego (UCSD)",4/30/2017,4/24/2018
291,University of New Mexico,7/17/2016,2/14/2018
291,George Washington University,10/22/2016,2/16/2018
292,Case Western Reserve University,3/22/2017,12/16/2018
292,Florida State University,10/20/2016,4/26/2020
292,Virginia Polytechnic Institute and State University,7/24/2016,1/29/2020
298,Johns Hopkins University,10/12/2016,4/13/2019
298,"The University of Tennessee, Knoxville",4/27/2016,2/24/2019
298,The Ohio State University,4/27/2017,1/14/2020
301,"University of California, San Diego (UCSD)",07/09/2017,10/22/2018
301,Colorado State University,8/24/2017,12/14/2018
302,Emory University,08/09/2017,08/11/2018
302,University at Buffalo SUNY,06/01/2016,12/17/2018
303,Washington University in St. Louis,1/18/2017,04/07/2018
303,Stanford University,12/15/2016,01/08/2020
305,Massachusets Institute of Technology,7/13/2016,1/23/2019
306,Oregon State University,9/22/2016,4/28/2019
307,Colorado State University,11/14/2016,5/16/2019
307,California Institute of Technology (Caltech),08/05/2016,11/27/2019
307,Boston College,11/05/2017,05/08/2019
308,University of Kansas,10/27/2016,05/02/2018
309,Rensselaer Polytechnic University,6/18/2017,10/05/2018
311,University of Chicago,07/10/2017,1/15/2019
311,University of Colorado Boulder,9/16/2016,10/13/2018
314,"University of Illinois, Chicago (UIC)",11/11/2017,02/08/2018
315,Boston University,11/18/2017,10/13/2018
317,The Ohio State University,12/05/2016,2/26/2020
317,"University of Maryland, Baltimore County",11/20/2017,10/16/2019
319,University of Texas Dallas,01/05/2017,5/17/2018
319,Tufts University,1/21/2017,04/09/2019
325,Dartmouth College,01/12/2017,07/12/2018
326,Massachusets Institute of Technology,10/05/2016,01/02/2019
327,University of Texas Dallas,12/10/2017,10/04/2018
327,"University of Colorado, Denver",08/08/2017,06/11/2018
327,Tufts University,11/22/2017,6/17/2019
328,University of Colorado Boulder,10/10/2017,3/16/2018
332,University of Wisconsin-Madison,11/17/2016,03/05/2020
333,Indiana University Bloomington,8/17/2017,08/09/2019
334,Brown University,12/16/2017,06/10/2018
334,Johns Hopkins University,07/07/2017,04/05/2018
336,University at Buffalo SUNY,6/24/2017,12/12/2018
336,University of Illinois at Urbana-Champaign,9/25/2017,08/06/2019
338,California Institute of Technology (Caltech),06/05/2016,9/20/2019
338,University of Miami,12/31/2017,7/22/2018
338,Case Western Reserve University,10/10/2017,08/10/2018
339,Brandeis University,11/09/2017,6/24/2018
339,Duke University,6/28/2016,8/18/2019
339,Howard University,3/21/2017,06/01/2018
341,Wayne State University,8/15/2017,3/22/2018
342,University of Vermont,6/15/2017,09/05/2019
342,Pennsylvania State University,12/23/2016,02/08/2019
342,University of South Florida,2/28/2017,8/28/2019
344,University of Virginia,02/01/2017,02/09/2018
347,Columbia University,3/22/2017,05/12/2018
348,University of Massachusetts Amherst,6/15/2017,8/19/2018
350,Princeton University,02/05/2017,04/08/2018
352,University of Texas at Austin,06/11/2016,6/25/2019
352,Harvard University,10/15/2016,1/20/2019
354,"University of Illinois, Chicago (UIC)",10/10/2016,3/26/2018
355,University of Delaware,8/29/2016,07/01/2018
355,Brown University,06/02/2017,02/03/2020
355,University of Michigan,04/01/2017,08/11/2018
356,"Stony Brook University, State University of New York",6/16/2016,09/02/2019
356,Rice University,10/04/2017,04/08/2018
357,University of Virginia,4/14/2017,10/22/2019
357,Johns Hopkins University,09/03/2016,3/26/2019
357,University of Colorado Boulder,12/28/2017,10/19/2018
358,The New School,04/09/2017,1/26/2019
359,University of New Mexico,05/06/2017,01/03/2019
360,Massachusets Institute of Technology,08/08/2016,11/07/2019
367,University of Chicago,09/09/2017,04/07/2018
367,University at Buffalo SUNY,12/05/2017,01/02/2019
367,Rutgers University - New Brunswick,11/28/2016,12/16/2019
368,"University of California, Berkeley (UCB)",09/05/2016,11/25/2019
368,Case Western Reserve University,8/28/2016,12/23/2019
370,Cornell University,02/10/2017,08/10/2019
370,Indiana University Bloomington,12/22/2017,5/30/2019
371,"University of California, Davis",07/08/2017,1/24/2019
372,Rensselaer Polytechnic University,2/28/2017,10/29/2018
372,Rutgers University - New Brunswick,5/15/2016,5/17/2018
372,Brown University,5/30/2017,03/11/2019
373,Northeastern University,04/04/2017,12/06/2019
373,"University of California, Los Angeles (UCLA)",7/22/2017,11/18/2018
374,"University of California, Santa Barbara (UCSB)",4/30/2016,05/08/2019
374,University of Pennsylvania,08/05/2017,03/01/2019
376,"University of North Carolina, Chapel Hill",11/01/2017,06/11/2019
377,Northeastern University,1/27/2017,1/20/2020
378,Washington State University,4/18/2017,09/09/2019
378,"University of Illinois, Chicago (UIC)",7/29/2016,11/28/2018
378,"University of California, Berkeley (UCB)",08/04/2016,10/04/2018
379,Rutgers University - New Brunswick,12/07/2017,12/14/2018
380,University of Southern California,12/19/2017,08/04/2019
380,"The University of Tennessee, Knoxville",9/16/2016,8/15/2018
383,University of Iowa,08/02/2016,4/22/2018
385,Arizona State University,5/13/2016,10/15/2018
386,Georgia Institute of Technology,04/02/2017,01/05/2020
386,University of Rochester,12/31/2017,02/05/2019
386,Stanford University,7/26/2017,06/09/2018
391,Howard University,07/03/2016,6/17/2019
391,University of Connecticut,2/27/2017,1/31/2019
393,Drexel University,9/17/2017,03/03/2019
396,Northwestern University,5/31/2017,07/02/2019
396,University of Florida,4/18/2017,05/11/2019
398,Yale University,4/14/2017,02/12/2020
399,Wake Forest University,07/11/2016,8/15/2019
399,"The University of Tennessee, Knoxville",4/17/2017,07/03/2019
404,"University of Illinois, Chicago (UIC)",5/22/2016,09/08/2019
404,The Ohio State University,2/19/2017,8/18/2019
405,"University of California, San Diego (UCSD)",11/22/2017,02/03/2020
405,Colorado State University,10/22/2016,06/09/2019
405,Lehigh University,09/10/2016,3/17/2018
407,Vanderbilt University,02/09/2017,11/09/2019
407,University of Hawai,8/31/2017,2/25/2020
410,Brandeis University,4/14/2017,2/15/2018
410,University of Florida,7/18/2016,05/02/2018
410,Lehigh University,10/27/2016,10/28/2018
417,University of Pittsburgh,08/11/2016,2/21/2020
420,Purdue University,02/04/2017,04/08/2019
420,Colorado State University,06/12/2017,2/14/2020
421,Johns Hopkins University,8/30/2016,1/17/2019
422,University of Miami,8/30/2016,7/25/2018
422,Georgia Institute of Technology,11/12/2016,4/16/2020
422,George Washington University,06/09/2016,03/01/2019
423,"University of Illinois, Chicago (UIC)",06/06/2016,04/05/2020
424,Pennsylvania State University,10/15/2016,03/12/2019
426,Georgia Institute of Technology,07/01/2017,11/08/2019
428,Howard University,09/11/2016,1/24/2020
428,"University of California, Davis",2/15/2017,2/25/2019
430,University of Florida,6/22/2017,06/05/2018
430,University of Illinois at Urbana-Champaign,09/12/2017,3/26/2020
430,University of Oklahoma,10/12/2017,12/05/2018
431,Howard University,12/18/2016,10/14/2018
431,Oregon State University,08/06/2017,9/14/2018
431,Yale University,11/07/2016,10/19/2019
432,Northeastern University,3/16/2017,8/17/2019
435,The New School,10/20/2016,11/06/2018
438,Brown University,6/14/2016,02/03/2019
440,University of Texas Dallas,07/05/2017,9/30/2019
440,Boston University,3/24/2017,08/05/2018
442,Howard University,11/12/2016,01/11/2020
444,Florida State University,4/19/2017,8/22/2018
446,Northwestern University,12/25/2017,01/03/2018
446,University of Iowa,04/09/2017,04/05/2020
446,Colorado State University,3/23/2017,07/08/2019
448,University of Texas Dallas,05/11/2017,07/11/2018
448,Washington University in St. Louis,8/28/2017,6/27/2018
448,University of Florida,3/20/2017,1/17/2018
451,University of Southern California,1/31/2017,8/31/2018
451,University of Massachusetts Amherst,05/05/2016,6/25/2018
451,"University of California, Berkeley (UCB)",12/09/2016,5/24/2019
452,Virginia Polytechnic Institute and State University,11/09/2016,02/07/2019
452,Purdue University,7/31/2016,10/22/2019
453,Georgia Institute of Technology,06/12/2016,9/26/2018
453,Northwestern University,4/20/2017,7/13/2019
454,University of Minnesota,05/01/2016,10/29/2019
456,Cornell University,3/15/2017,06/02/2018
457,Arizona State University,11/29/2016,5/29/2018
457,Florida State University,12/05/2017,5/23/2018
459,Wayne State University,9/28/2017,1/27/2018
461,Yale University,9/22/2017,5/13/2018
461,University of Kansas,06/10/2017,09/03/2019
461,Purdue University,4/21/2017,6/29/2018
462,"University of Colorado, Denver",1/20/2017,2/24/2019
463,Georgetown University,1/18/2017,10/21/2018
463,The Katz School at Yeshiva University,10/07/2017,06/11/2019
464,Princeton University,8/26/2017,08/08/2018
464,Cornell University,6/22/2017,02/07/2020
464,George Washington University,5/27/2017,4/26/2018
465,University of Southern California,04/10/2017,1/29/2020
465,Vanderbilt University,4/22/2017,7/28/2019
465,Washington University in St. Louis,03/04/2017,08/03/2018
466,University of Kansas,2/18/2017,08/08/2019
470,Washington State University,10/03/2017,6/19/2019
474,Rice University,7/17/2017,10/09/2019
474,Case Western Reserve University,6/22/2016,8/23/2019
475,Boston College,10/01/2016,11/02/2019
478,University of Iowa,9/24/2017,9/29/2018
485,University of Florida,3/24/2017,2/26/2019
488,University of Chicago,7/19/2016,3/13/2019
489,Iowa State University,01/05/2017,8/27/2018
489,Dartmouth College,07/11/2017,04/11/2019
489,Georgetown University,9/16/2016,4/25/2018
491,Emory University,4/28/2016,7/14/2019
491,Northeastern University,09/11/2017,03/07/2019
492,The New School,06/09/2017,02/12/2020
495,"University of Maryland, Baltimore County",10/13/2017,04/08/2018
495,"University of California, Davis",10/06/2016,06/04/2019
495,Wayne State University,09/10/2016,11/24/2018
498,Northeastern University,11/25/2017,3/30/2020
499,Texas A&M University,12/27/2016,4/13/2018
500,Harvard University,8/18/2017,1/29/2018
500,University of Connecticut,12/05/2016,04/03/2020
501,University of Southern California,03/03/2017,10/29/2019
501,"University of Illinois, Chicago (UIC)",9/27/2017,8/13/2019
501,"University of California, San Diego (UCSD)",4/29/2017,11/18/2019
503,Howard University,4/17/2017,8/14/2018
503,Arizona State University,10/09/2017,3/17/2020
504,University of Oklahoma,8/18/2017,04/08/2018
505,University of Vermont,5/25/2016,12/15/2019
507,"University of Illinois, Chicago (UIC)",07/04/2017,12/24/2018
507,Clark University,10/17/2016,8/31/2018
507,Virginia Polytechnic Institute and State University,07/10/2017,10/20/2018
509,Duke University,7/13/2017,9/14/2019
509,Georgetown University,5/15/2017,10/30/2018
509,Harvard University,10/09/2016,7/15/2019
514,Boston University,1/26/2017,6/18/2019
514,"The University of Tennessee, Knoxville",7/22/2016,11/10/2018
515,University at Buffalo SUNY,11/16/2016,05/04/2019
516,New York University,12/08/2016,05/12/2018
516,Rutgers University - New Brunswick,5/22/2016,12/24/2018
516,California Institute of Technology (Caltech),10/11/2017,09/08/2018
517,University of Miami,2/28/2017,3/18/2019
518,Lehigh University,12/11/2016,08/04/2019
519,The Ohio State University,8/22/2017,4/25/2019
519,Georgetown University,05/04/2016,02/07/2020
520,Brown University,11/13/2016,12/21/2018
523,"University of Maryland, Baltimore County",03/09/2017,11/09/2019
526,Princeton University,06/01/2017,09/04/2019
526,Boston University,10/22/2017,11/04/2019
526,"University of California, Davis",09/07/2016,7/29/2019
531,Texas A&M University,07/08/2017,12/21/2019
531,University of Miami,6/16/2016,03/02/2018
532,Oregon State University,01/08/2017,04/03/2019
532,"University of California, Los Angeles (UCLA)",12/18/2016,02/01/2020
533,Florida State University,2/17/2017,8/21/2018
533,The University of Arizona,07/08/2016,1/15/2020
538,"University of North Carolina, Chapel Hill",03/08/2017,4/26/2019
538,University of Chicago,12/30/2017,05/11/2018
538,Clark University,12/26/2017,4/15/2018
539,Wake Forest University,09/02/2016,02/02/2020
540,University of Kansas,9/24/2017,1/21/2020
540,University of Connecticut,11/01/2017,1/18/2020
543,University of New Mexico,6/24/2017,06/09/2018
543,Brandeis University,12/10/2016,11/30/2019
543,Washington University in St. Louis,4/28/2017,9/13/2019
548,University of Texas Dallas,12/02/2017,4/26/2019
549,Dartmouth College,3/14/2017,12/27/2018
549,Oregon State University,05/07/2016,10/15/2019
549,The University of Arizona,06/02/2016,3/24/2020
550,University of New Mexico,03/02/2017,09/02/2019
554,"University of California, Santa Cruz",6/16/2017,2/23/2018
556,University of Pittsburgh,9/29/2016,05/01/2019
557,Rice University,5/17/2016,8/17/2019
558,Rensselaer Polytechnic University,10/31/2017,8/27/2019
558,"University of California, San Diego (UCSD)",11/10/2016,4/16/2020
560,University of Kansas,6/22/2016,2/23/2020
561,The University of Arizona,09/08/2016,01/02/2019
562,Washington University in St. Louis,12/18/2016,10/26/2018
563,"University of California, Berkeley (UCB)",04/08/2017,12/10/2018
564,Georgia Institute of Technology,08/12/2017,9/18/2018
564,Duke University,08/05/2017,05/03/2018
564,Johns Hopkins University,09/04/2017,02/06/2019
567,Arizona State University,6/14/2017,09/12/2019
567,North Carolina State University,3/14/2017,02/07/2018
567,Carnegie Mellon University,10/05/2017,3/24/2019
568,Arizona State University,11/30/2017,3/29/2018
569,University of Vermont,7/21/2016,2/28/2019
570,"University of California, Los Angeles (UCLA)",10/01/2016,6/21/2019
570,"University of California, Riverside",8/16/2016,10/11/2018
570,California Institute of Technology (Caltech),2/26/2017,05/03/2018
571,University of Colorado Boulder,3/17/2017,7/22/2018
571,University of Massachusetts Amherst,6/18/2016,11/29/2018
573,Columbia University,12/28/2017,11/25/2018
574,Johns Hopkins University,10/02/2016,7/14/2019
574,University of Washington,08/01/2017,10/09/2019
575,University of New Mexico,02/04/2017,12/25/2018
575,University of Michigan,8/29/2017,01/08/2020
575,University of Pittsburgh,10/03/2016,3/22/2019
577,University of Connecticut,10/09/2016,09/07/2019
577,Johns Hopkins University,11/18/2016,11/22/2018
579,Drexel University,12/25/2017,02/06/2018
580,Georgetown University,9/25/2017,4/20/2020
582,University of Wisconsin-Madison,3/15/2017,9/21/2018
584,Case Western Reserve University,8/15/2016,1/14/2019
584,"University of California, Santa Cruz",7/27/2016,2/13/2020
587,"University of California, Davis",5/15/2016,10/19/2019
589,Michigan State University,10/05/2017,2/27/2020
589,"University of California, Davis",07/04/2017,4/24/2019
589,University of Kansas,9/18/2017,2/18/2019
590,University of Colorado Boulder,10/03/2017,9/14/2019
593,Indiana University Bloomington,3/30/2017,12/08/2019
593,University of Pennsylvania,09/04/2016,7/18/2019
595,The Katz School at Yeshiva University,12/15/2016,7/24/2019
596,University of Chicago,9/18/2017,11/09/2018
596,Harvard University,9/18/2016,11/15/2018
596,Northeastern University,9/21/2016,02/07/2020
598,University of Michigan,7/19/2017,9/16/2018
602,University of Vermont,12/13/2017,11/28/2018
604,University of New Mexico,12/04/2017,10/11/2019
604,The Ohio State University,9/21/2017,1/22/2019
604,"University of California, Santa Barbara (UCSB)",6/27/2016,2/17/2018
605,Purdue University,06/09/2016,11/04/2019
606,The New School,12/19/2016,10/24/2019
607,"University of California, Riverside",08/10/2017,11/02/2018
608,Arizona State University,7/23/2017,2/22/2020
610,University of Virginia,7/22/2017,7/18/2019
