UserID,Workplace,StartTime,EndTime
133,Metro Cash&Carry,1/29/2017,9/24/2019
134,Comcast,10/06/2016,01/08/2019
136,Telekom,03/04/2017,8/28/2019
137,Zepter,1/29/2017,2/15/2018
139,21st Century Fox,9/18/2016,2/27/2020
139,Danone,10/08/2016,04/03/2020
141,CarMax,09/09/2017,2/26/2020
141,Comcast,3/25/2017,05/11/2019
141,Global Print,09/07/2016,3/19/2020
142,Erickson,07/07/2016,9/27/2019
144,Telekom,12/25/2016,1/26/2020
147,ENEL,10/08/2016,11/19/2018
148,Telekom,12/28/2016,7/19/2018
148,Comcast,12/11/2016,10/27/2018
151,Global Print,5/25/2017,11/26/2018
151,Comodo,08/04/2017,5/18/2019
152,It Smart Group,12/03/2016,5/31/2019
153,ENEL,04/05/2017,4/27/2018
154,Leadertech Consulting,10/14/2016,5/13/2018
155,Apple Inc.,02/06/2017,03/06/2019
155,It Smart Group,9/19/2017,3/17/2020
160,Danone,8/21/2016,2/24/2018
160,Zepter,03/05/2017,04/07/2018
160,Erickson,8/25/2016,03/07/2019
162,Team Guard SRL,12/17/2016,6/13/2019
162,Zepter,9/24/2016,10/04/2019
164,Danone,11/27/2017,03/04/2019
167,Areon Impex,7/14/2017,12/20/2019
167,Metro Cash&Carry,2/28/2017,03/11/2020
167,Apple Inc.,06/04/2017,03/10/2020
168,CarMax,06/08/2016,11/27/2019
170,DynCorp,05/06/2016,03/01/2019
170,Danone,01/05/2017,1/14/2019
170,Apple Inc.,08/05/2017,08/12/2018
173,Boeing,11/15/2017,7/19/2019
175,Team Guard SRL,09/10/2017,12/13/2019
175,Amazon.com,8/21/2017,11/30/2018
178,DynCorp,12/03/2016,07/07/2018
179,Boeing,10/02/2016,7/15/2019
181,Zepter,04/11/2017,9/22/2018
181,Vodafone,06/02/2016,7/26/2019
183,Team Guard SRL,06/11/2017,01/08/2019
187,Biolife Grup,05/11/2017,12/28/2018
187,Telekom,6/15/2016,4/14/2020
187,Boeing,12/11/2017,4/29/2019
189,UPC,08/11/2016,1/19/2020
190,Metro Cash&Carry,8/26/2017,03/05/2018
190,AECOM,5/29/2017,10/26/2019
191,Areon Impex,6/27/2016,3/30/2020
192,AECOM,09/05/2017,01/07/2018
193,Facebook,10/10/2016,02/09/2019
194,Biolife Grup,10/30/2017,7/22/2018
194,21st Century Fox,12/12/2016,6/15/2019
194,Telekom,5/22/2017,2/13/2020
195,21st Century Fox,04/04/2017,3/25/2019
197,Global Print,07/09/2016,08/09/2019
202,Amazon.com,5/18/2017,01/03/2018
202,Comcast,12/05/2017,06/03/2018
202,Comodo,03/11/2017,05/03/2019
206,Metro Cash&Carry,11/22/2016,2/27/2019
206,Boeing,1/14/2017,09/01/2019
208,ENEL,10/02/2017,02/02/2019
208,BuzzFeed,6/22/2017,12/15/2019
211,Areon Impex,06/11/2016,09/07/2019
211,Telekom,02/08/2017,3/31/2018
213,Biolife Grup,7/13/2017,3/18/2020
213,Leadertech Consulting,8/22/2016,05/04/2018
217,Comodo,12/15/2017,2/20/2020
219,ENEL,12/18/2016,11/23/2019
219,BuzzFeed,8/28/2017,4/13/2019
224,Danone,10/28/2016,10/27/2019
226,Erickson,10/17/2016,9/20/2018
231,Demaco,5/22/2016,08/06/2019
231,DynCorp,12/03/2017,3/30/2019
231,It Smart Group,08/01/2016,02/04/2018
234,Areon Impex,2/17/2017,2/17/2018
234,AECOM,4/25/2017,3/14/2018
236,Carrefour,9/25/2016,4/14/2020
236,UPC,5/24/2016,06/04/2019
237,Zepter,10/31/2017,1/23/2020
239,Erickson,10/27/2017,7/17/2019
240,Biolife Grup,01/10/2017,4/18/2018
241,Coca-Cola Company,6/22/2016,1/21/2019
243,BuzzFeed,10/13/2017,03/10/2020
243,Facebook,11/24/2016,05/07/2018
245,Comcast,11/08/2016,11/20/2019
246,Demaco,6/13/2016,12/11/2018
248,UPC,11/20/2017,3/16/2018
248,Carrefour,8/13/2017,08/01/2018
252,Demaco,6/23/2016,11/21/2018
252,21st Century Fox,06/08/2017,9/27/2019
252,AECOM,04/03/2017,04/03/2018
258,Mars,10/02/2016,4/22/2019
261,ENEL,12/02/2016,1/24/2019
262,Boeing,4/16/2017,10/19/2019
266,ExxonMobil,07/12/2016,05/09/2018
266,Global Print,07/12/2016,9/26/2019
266,Telekom,7/24/2016,02/06/2020
269,Coca-Cola Company,3/23/2017,9/18/2019
270,Vodafone,02/01/2017,10/01/2018
272,Areon Impex,12/30/2016,12/31/2018
272,Apple Inc.,06/08/2016,6/24/2019
273,Carrefour,08/01/2016,08/09/2018
275,Metro Cash&Carry,7/13/2017,11/10/2019
275,Apple Inc.,1/29/2017,4/21/2018
277,Coca-Cola Company,05/04/2016,08/11/2019
279,Metro Cash&Carry,1/23/2017,09/10/2018
281,UPC,9/27/2016,01/11/2018
282,Global Print,07/09/2017,4/28/2019
282,Mars,3/13/2017,1/28/2018
282,Boeing,08/06/2016,7/28/2018
283,Amazon.com,12/26/2016,2/15/2020
283,Apple Inc.,9/17/2016,11/18/2018
283,Danone,5/26/2017,7/22/2019
284,21st Century Fox,5/29/2016,07/06/2019
284,Metro Cash&Carry,10/17/2016,04/08/2019
285,Coca-Cola Company,3/23/2017,5/21/2018
294,Global Print,9/18/2016,3/26/2018
296,21st Century Fox,6/15/2016,01/08/2018
296,Coca-Cola Company,5/15/2016,4/26/2018
296,Carrefour,11/20/2017,07/03/2019
297,CarMax,06/11/2017,3/18/2018
297,BuzzFeed,06/09/2017,09/02/2019
297,Biolife Grup,10/22/2016,07/06/2018
302,Biolife Grup,04/11/2017,08/10/2018
304,Demaco,12/27/2017,9/21/2019
304,It Smart Group,5/20/2017,05/01/2018
306,Areon Impex,12/10/2016,06/01/2018
308,Comcast,05/06/2017,01/04/2018
309,Facebook,12/22/2016,06/11/2018
309,Boeing,06/07/2017,8/26/2019
310,Comodo,05/12/2016,03/03/2018
310,21st Century Fox,10/18/2016,6/23/2018
313,Mars,11/18/2016,07/11/2019
313,Areon Impex,2/21/2017,10/20/2019
314,AECOM,5/19/2016,3/13/2018
314,Areon Impex,8/28/2016,9/13/2019
315,UPC,12/11/2016,3/28/2020
317,Erickson,6/24/2016,9/27/2019
317,Apple Inc.,6/17/2017,06/10/2019
321,Team Guard SRL,1/17/2017,12/17/2018
321,CarMax,11/11/2016,05/04/2019
322,ExxonMobil,5/17/2016,4/19/2020
322,DynCorp,6/25/2017,08/09/2019
322,Metro Cash&Carry,03/12/2017,01/01/2019
323,Biolife Grup,10/02/2016,7/26/2019
324,Comcast,5/23/2017,04/07/2020
326,Apple Inc.,04/05/2017,8/31/2019
327,Biolife Grup,4/15/2017,02/08/2020
328,Apple Inc.,8/18/2017,11/10/2019
328,Global Print,07/10/2017,10/09/2018
328,Comcast,6/29/2016,05/10/2018
329,Mars,09/06/2016,11/08/2019
329,Team Guard SRL,7/21/2016,11/16/2019
330,BuzzFeed,06/10/2016,03/06/2018
332,Apple Inc.,09/08/2017,6/25/2019
333,Vodafone,09/01/2016,2/20/2018
334,ENEL,4/28/2016,4/15/2018
334,DynCorp,12/20/2016,6/24/2018
334,ExxonMobil,06/05/2017,11/14/2018
335,BuzzFeed,08/05/2017,6/27/2019
335,ENEL,1/20/2017,4/14/2020
336,Danone,11/06/2017,05/06/2019
336,Biolife Grup,11/13/2016,02/03/2019
336,Amazon.com,9/13/2016,04/07/2018
338,DynCorp,06/02/2016,5/27/2018
338,Telekom,03/02/2017,1/18/2019
340,Demaco,11/09/2017,09/08/2018
341,It Smart Group,12/24/2016,06/11/2018
341,Zepter,07/02/2016,1/24/2019
344,UPC,12/03/2016,3/20/2019
344,Leadertech Consulting,10/14/2017,1/30/2018
344,CarMax,7/30/2017,10/10/2018
345,Amazon.com,12/04/2017,03/07/2018
346,Boeing,7/29/2017,04/07/2019
346,Carrefour,11/05/2016,03/07/2018
346,Vodafone,12/14/2017,10/07/2019
347,Carrefour,8/16/2016,01/02/2020
347,Vodafone,06/01/2016,10/26/2019
353,CarMax,08/05/2016,12/19/2018
353,Team Guard SRL,11/22/2016,07/10/2019
354,DynCorp,12/20/2016,11/30/2019
355,Apple Inc.,11/12/2016,10/22/2018
355,Coca-Cola Company,09/03/2017,05/01/2019
356,Comcast,11/11/2016,3/25/2019
356,UPC,10/28/2016,10/15/2018
357,Global Print,7/17/2016,10/26/2018
357,Carrefour,11/02/2016,1/27/2018
357,BuzzFeed,08/01/2016,11/10/2019
359,Biolife Grup,05/11/2017,08/09/2019
360,Erickson,6/27/2017,10/22/2019
360,UPC,4/21/2017,11/13/2019
363,Facebook,11/10/2016,6/16/2019
365,Leadertech Consulting,3/26/2017,10/30/2018
365,UPC,3/26/2017,12/25/2018
368,Mars,07/07/2016,4/21/2019
368,BuzzFeed,6/17/2017,03/02/2018
368,It Smart Group,02/10/2017,10/22/2019
372,BuzzFeed,10/26/2016,12/12/2018
372,Demaco,12/05/2017,07/05/2019
375,Areon Impex,11/01/2017,12/24/2019
376,ExxonMobil,10/13/2017,12/02/2018
376,Team Guard SRL,7/25/2016,4/26/2020
376,BuzzFeed,9/17/2017,04/01/2020
379,Boeing,8/22/2016,10/06/2018
380,Zepter,10/28/2016,04/08/2018
381,Metro Cash&Carry,09/12/2017,5/16/2019
382,Boeing,3/19/2017,1/27/2018
382,Apple Inc.,07/07/2017,2/27/2020
383,ExxonMobil,2/20/2017,5/20/2018
383,It Smart Group,11/16/2017,11/24/2019
386,21st Century Fox,7/31/2016,3/17/2020
386,DynCorp,01/10/2017,11/10/2018
386,Demaco,10/16/2017,08/07/2018
387,Comodo,07/07/2016,12/25/2019
389,Danone,8/23/2016,4/13/2019
391,Carrefour,5/28/2016,1/27/2019
392,21st Century Fox,05/03/2016,10/26/2018
393,ENEL,06/11/2017,10/07/2019
393,AECOM,12/29/2016,04/09/2018
394,Demaco,10/27/2017,1/22/2020
394,Facebook,07/02/2016,03/12/2019
395,Leadertech Consulting,06/09/2016,06/06/2018
398,Metro Cash&Carry,08/12/2016,12/05/2018
399,Coca-Cola Company,5/16/2017,6/23/2018
399,BuzzFeed,4/16/2017,4/27/2018
399,Metro Cash&Carry,10/25/2016,04/04/2018
401,ENEL,6/18/2016,11/12/2018
401,Danone,11/30/2016,09/02/2019
401,Vodafone,09/10/2016,2/21/2020
402,Carrefour,07/12/2017,02/04/2019
403,Team Guard SRL,6/15/2017,07/04/2018
403,Biolife Grup,2/18/2017,2/24/2020
404,Coca-Cola Company,9/24/2016,10/15/2019
406,Comcast,8/21/2016,7/23/2018
406,Telekom,10/22/2017,11/09/2018
406,ENEL,7/29/2017,09/06/2019
410,It Smart Group,03/08/2017,12/24/2019
415,Telekom,10/25/2016,3/30/2018
420,Carrefour,9/14/2016,03/01/2019
420,ENEL,08/08/2016,5/30/2019
420,Mars,02/12/2017,4/27/2018
422,Danone,4/30/2016,02/05/2020
422,UPC,6/14/2016,10/26/2019
422,Team Guard SRL,12/30/2016,7/28/2018
425,21st Century Fox,03/03/2017,12/11/2018
428,Boeing,05/03/2017,5/21/2019
430,Areon Impex,11/30/2016,3/26/2018
430,Metro Cash&Carry,9/16/2016,4/19/2018
433,Biolife Grup,6/17/2016,2/22/2020
434,ExxonMobil,06/05/2017,8/22/2018
435,Amazon.com,11/26/2016,06/04/2019
436,ENEL,03/03/2017,7/13/2019
438,Carrefour,9/22/2016,11/10/2019
438,Comcast,05/06/2016,7/15/2019
438,Telekom,4/14/2017,10/14/2018
439,UPC,06/10/2017,11/16/2018
439,Boeing,05/03/2016,6/18/2018
440,Boeing,4/29/2016,02/04/2019
441,CarMax,05/09/2016,06/12/2019
445,Metro Cash&Carry,12/12/2017,12/15/2019
445,21st Century Fox,9/28/2016,8/28/2019
445,Demaco,11/30/2017,1/13/2018
446,Comodo,12/23/2017,6/28/2019
456,Areon Impex,7/22/2017,4/22/2019
457,Biolife Grup,11/09/2017,5/24/2018
457,ExxonMobil,8/27/2017,9/17/2019
457,Team Guard SRL,10/02/2016,8/13/2018
459,Metro Cash&Carry,5/27/2016,1/15/2018
459,Telekom,5/13/2016,12/29/2019
460,Amazon.com,7/20/2016,6/30/2018
462,Demaco,8/22/2016,3/13/2018
462,Apple Inc.,9/19/2017,03/05/2020
462,Comodo,05/03/2016,04/11/2018
463,Boeing,07/06/2017,10/05/2018
465,Demaco,3/30/2017,3/25/2019
468,Carrefour,07/02/2016,02/11/2020
469,21st Century Fox,03/07/2017,7/13/2019
471,Mars,08/12/2016,05/05/2018
471,Coca-Cola Company,3/26/2017,01/06/2018
475,UPC,09/01/2016,4/17/2020
477,Coca-Cola Company,01/05/2017,4/20/2019
477,UPC,05/10/2017,06/06/2018
479,Metro Cash&Carry,07/11/2016,10/20/2019
479,Team Guard SRL,8/24/2017,11/09/2019
479,Mars,10/11/2016,3/13/2019
480,AECOM,5/13/2016,2/27/2018
480,Biolife Grup,5/16/2016,2/28/2018
480,Global Print,12/17/2016,06/02/2018
481,Coca-Cola Company,3/22/2017,01/03/2018
482,CarMax,10/28/2017,05/12/2019
483,Erickson,5/20/2016,4/16/2020
485,DynCorp,10/01/2016,3/29/2019
485,Danone,03/06/2017,4/26/2018
486,Comodo,4/23/2017,6/22/2019
488,UPC,10/12/2016,08/05/2018
488,Leadertech Consulting,5/31/2017,03/03/2020
488,Metro Cash&Carry,8/18/2016,7/22/2019
489,Vodafone,5/29/2017,2/25/2019
491,Biolife Grup,12/12/2017,02/03/2020
491,Comodo,04/04/2017,1/26/2019
491,ExxonMobil,12/15/2017,3/27/2018
492,Coca-Cola Company,10/25/2017,11/15/2019
494,Areon Impex,10/12/2016,2/16/2020
494,Boeing,7/13/2016,7/22/2018
496,Erickson,4/19/2017,1/29/2019
496,Carrefour,11/04/2016,11/12/2018
497,Coca-Cola Company,5/13/2016,6/25/2018
498,Leadertech Consulting,4/27/2016,6/25/2018
498,AECOM,6/14/2016,7/18/2019
499,Vodafone,10/26/2017,7/17/2019
500,Carrefour,12/13/2017,2/23/2019
501,DynCorp,5/25/2016,6/14/2019
501,AECOM,11/08/2016,04/05/2020
501,Comcast,06/09/2017,04/05/2020
502,Mars,5/24/2017,02/08/2019
504,It Smart Group,12/17/2017,09/05/2019
505,BuzzFeed,12/20/2016,1/27/2019
516,Vodafone,11/01/2017,6/25/2018
516,Danone,9/16/2016,11/23/2019
516,It Smart Group,11/02/2017,4/30/2018
519,BuzzFeed,07/09/2016,9/29/2019
519,Metro Cash&Carry,4/14/2017,09/04/2018
520,Facebook,07/08/2017,04/01/2018
521,Biolife Grup,12/20/2017,6/28/2018
523,Mars,6/15/2017,3/17/2018
524,21st Century Fox,7/19/2016,04/11/2019
524,Coca-Cola Company,12/04/2016,07/10/2018
524,Apple Inc.,07/02/2017,3/30/2020
525,Comodo,10/02/2016,5/19/2019
525,Telekom,5/25/2016,1/21/2020
525,It Smart Group,10/11/2017,07/10/2018
526,Areon Impex,05/02/2017,4/19/2018
527,Zepter,3/29/2017,11/22/2018
527,CarMax,2/26/2017,8/20/2018
529,AECOM,12/29/2017,04/08/2018
530,Demaco,12/13/2016,5/20/2018
530,Boeing,8/16/2017,01/12/2019
530,Telekom,08/01/2016,6/27/2018
531,UPC,6/22/2016,04/04/2020
532,Carrefour,12/30/2016,3/27/2018
532,ExxonMobil,3/20/2017,4/20/2018
537,ENEL,12/15/2016,5/22/2019
540,Mars,10/29/2017,4/13/2019
541,Vodafone,07/10/2016,12/27/2019
542,CarMax,1/15/2017,11/28/2019
542,Biolife Grup,09/02/2016,08/09/2018
542,Telekom,6/28/2016,6/21/2018
545,Mars,5/19/2017,12/25/2018
545,Comcast,12/16/2016,02/10/2020
551,Leadertech Consulting,10/22/2017,2/22/2018
551,Coca-Cola Company,1/19/2017,05/02/2018
554,AECOM,12/05/2016,02/02/2020
554,Amazon.com,10/31/2017,11/06/2019
555,BuzzFeed,7/20/2017,04/02/2020
557,Biolife Grup,4/30/2017,4/24/2018
558,Global Print,7/17/2016,2/14/2018
559,21st Century Fox,10/22/2016,2/16/2018
559,Demaco,3/22/2017,12/16/2018
559,Boeing,10/20/2016,4/26/2020
561,Coca-Cola Company,7/24/2016,1/29/2020
562,Vodafone,10/12/2016,4/13/2019
562,ENEL,4/27/2016,2/24/2019
562,BuzzFeed,4/27/2017,1/14/2020
563,Team Guard SRL,07/09/2017,10/22/2018
563,Areon Impex,8/24/2017,12/14/2018
563,Boeing,08/09/2017,08/11/2018
564,DynCorp,06/01/2016,12/17/2018
564,Metro Cash&Carry,1/18/2017,04/07/2018
564,21st Century Fox,12/15/2016,01/08/2020
569,Demaco,7/13/2016,1/23/2019
569,Coca-Cola Company,9/22/2016,4/28/2019
570,Biolife Grup,11/14/2016,5/16/2019
573,Carrefour,08/05/2016,11/27/2019
573,Danone,11/05/2017,05/08/2019
575,CarMax,10/27/2016,05/02/2018
579,Amazon.com,6/18/2017,10/05/2018
579,Metro Cash&Carry,07/10/2017,1/15/2019
580,Mars,9/16/2016,10/13/2018
582,Telekom,11/11/2017,02/08/2018
582,Apple Inc.,11/18/2017,10/13/2018
583,Biolife Grup,12/05/2016,2/26/2020
583,Telekom,11/20/2017,10/16/2019
583,Danone,01/05/2017,5/17/2018
584,Comodo,1/21/2017,04/09/2019
584,Telekom,01/12/2017,07/12/2018
585,DynCorp,10/05/2016,01/02/2019
585,Comcast,12/10/2017,10/04/2018
585,21st Century Fox,08/08/2017,06/11/2018
587,Erickson,11/22/2017,6/17/2019
589,Global Print,10/10/2017,3/16/2018
589,ExxonMobil,11/17/2016,03/05/2020
590,UPC,8/17/2017,08/09/2019
594,Boeing,12/16/2017,06/10/2018
595,Erickson,07/07/2017,04/05/2018
595,Leadertech Consulting,6/24/2017,12/12/2018
598,Demaco,9/25/2017,08/06/2019
603,21st Century Fox,06/05/2016,9/20/2019
603,Danone,12/31/2017,7/22/2018
608,ExxonMobil,10/10/2017,08/10/2018
608,21st Century Fox,11/09/2017,6/24/2018
609,AECOM,6/28/2016,8/18/2019
609,DynCorp,3/21/2017,06/01/2018
619,ENEL,8/15/2017,3/22/2018
619,Amazon.com,6/15/2017,09/05/2019
619,DynCorp,12/23/2016,02/08/2019
621,Mars,2/28/2017,8/28/2019
621,Telekom,02/01/2017,02/09/2018
623,Apple Inc.,3/22/2017,05/12/2018
624,DynCorp,6/15/2017,8/19/2018
625,DynCorp,02/05/2017,04/08/2018
625,Team Guard SRL,06/11/2016,6/25/2019
625,Telekom,10/15/2016,1/20/2019
626,Biolife Grup,10/10/2016,3/26/2018
628,ExxonMobil,8/29/2016,07/01/2018
632,It Smart Group,06/02/2017,02/03/2020
633,Global Print,04/01/2017,08/11/2018
633,DynCorp,6/16/2016,09/02/2019
633,CarMax,10/04/2017,04/08/2018
635,Comodo,4/14/2017,10/22/2019
635,CarMax,09/03/2016,3/26/2019
637,21st Century Fox,12/28/2017,10/19/2018
637,Mars,04/09/2017,1/26/2019
637,ExxonMobil,05/06/2017,01/03/2019
638,Danone,08/08/2016,11/07/2019
638,Vodafone,09/09/2017,04/07/2018
638,ExxonMobil,12/05/2017,01/02/2019
640,Metro Cash&Carry,11/28/2016,12/16/2019
643,Apple Inc.,09/05/2016,11/25/2019
643,It Smart Group,8/28/2016,12/23/2019
643,Telekom,02/10/2017,08/10/2019
645,Boeing,12/22/2017,5/30/2019
648,Danone,07/08/2017,1/24/2019
650,Carrefour,2/28/2017,10/29/2018
651,Boeing,5/15/2016,5/17/2018
652,Biolife Grup,5/30/2017,03/11/2019
652,Demaco,04/04/2017,12/06/2019
654,Mars,7/22/2017,11/18/2018
654,Vodafone,4/30/2016,05/08/2019
654,Comodo,08/05/2017,03/01/2019
656,Mars,11/01/2017,06/11/2019
656,BuzzFeed,1/27/2017,1/20/2020
658,UPC,4/18/2017,09/09/2019
660,UPC,7/29/2016,11/28/2018
661,Biolife Grup,08/04/2016,10/04/2018
664,DynCorp,12/07/2017,12/14/2018
664,21st Century Fox,12/19/2017,08/04/2019
664,AECOM,9/16/2016,8/15/2018
666,ExxonMobil,08/02/2016,4/22/2018
666,ENEL,5/13/2016,10/15/2018
667,Areon Impex,04/02/2017,01/05/2020
671,Erickson,12/31/2017,02/05/2019
671,DynCorp,7/26/2017,06/09/2018
671,Vodafone,07/03/2016,6/17/2019
673,AECOM,2/27/2017,1/31/2019
675,Leadertech Consulting,9/17/2017,03/03/2019
675,ExxonMobil,5/31/2017,07/02/2019
675,Facebook,4/18/2017,05/11/2019
678,ExxonMobil,4/14/2017,02/12/2020
678,Biolife Grup,07/11/2016,8/15/2019
679,CarMax,4/17/2017,07/03/2019
680,Vodafone,5/22/2016,09/08/2019
680,Coca-Cola Company,2/19/2017,8/18/2019
680,Facebook,11/22/2017,02/03/2020
682,It Smart Group,10/22/2016,06/09/2019
682,Apple Inc.,09/10/2016,3/17/2018
682,Leadertech Consulting,02/09/2017,11/09/2019
683,AECOM,8/31/2017,2/25/2020
683,Areon Impex,4/14/2017,2/15/2018
683,It Smart Group,7/18/2016,05/02/2018
684,Leadertech Consulting,10/27/2016,10/28/2018
685,Leadertech Consulting,08/11/2016,2/21/2020
685,Demaco,02/04/2017,04/08/2019
685,Amazon.com,06/12/2017,2/14/2020
688,Global Print,8/30/2016,1/17/2019
688,Carrefour,8/30/2016,7/25/2018
689,Mars,11/12/2016,4/16/2020
690,21st Century Fox,06/09/2016,03/01/2019
690,It Smart Group,06/06/2016,04/05/2020
691,Erickson,10/15/2016,03/12/2019
691,Areon Impex,07/01/2017,11/08/2019
691,Global Print,09/11/2016,1/24/2020
695,Telekom,2/15/2017,2/25/2019
697,BuzzFeed,6/22/2017,06/05/2018
697,Team Guard SRL,09/12/2017,3/26/2020
697,Erickson,10/12/2017,12/05/2018
699,Comodo,12/18/2016,10/14/2018
699,Amazon.com,08/06/2017,9/14/2018
700,Demaco,11/07/2016,10/19/2019
700,Global Print,3/16/2017,8/17/2019
700,Boeing,10/20/2016,11/06/2018
706,Amazon.com,6/14/2016,02/03/2019
707,CarMax,07/05/2017,9/30/2019
707,Biolife Grup,3/24/2017,08/05/2018
